name;##location ФИАС;geo_id Яндекс;text;примечение;субъект федерации;count;
Оренбург;dce97bff-deb2-4fd9-9aec-4f4327bbf89b;48;г. Оренбург;;оренбургская;1;
Пенза;ff3292b1-a1d2-47d4-b35b-ac06b50555cc;49;г. Пенза;;пензенская;1;
Первоуральск;45bad628-61b7-4445-b62a-fa4c7bc71ccd;11171;г. Первоуральск;;свердловская;1;
Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;50;г. Пермь;;пермский;1;
Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;10747;г. Подольск;;московская;1;
Пятигорск;9b0efbd0-22bb-400d-86db-ddc69b9939d9;11067;г. Пятигорск;;ставропольский;1;
Ростов-на-Дону;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;39;г. Ростов-на-Дону;;ростовская;1;
Рязань;86e5bae4-ef58-4031-b34f-5e9ff914cd55;11;г. Рязань;;рязанская;1;
Салават;fc14353f-5a1d-4f22-94ea-b900bad9a9f1;11115;г. Салават;;башкортостан;1;
Самара;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;51;г. Самара;;самарская;1;
Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;2;г. Санкт-Петербург;;Санкт-Петербург;1;
Саранск;1ccfdc3c-be0f-4e42-ab4d-98f90de972d9;42;г. Саранск;;мордовия;1;
Саратов;bf465fda-7834-47d5-986b-ccdb584a85a6;194;г. Саратов;;саратовская;1;
Северск;53c22352-eb6f-4163-a4d1-385d64561d2f;11351;г. Северск;;томская;1;
Серов;591f3e74-079f-42ff-a155-f01c9dc363ae;11172;г. Серов;;свердловская;1;
Смоленск;d414a2e8-9e1e-48c1-94a4-7308d5608177;12;г. Смоленск;;смоленская;1;
Сосновый Бор;f4a4b31f-9f0a-4fdb-804c-d67661085eb4;10891;г. Сосновый Бор;;санкт-петербург;1;
Сочи;79da737a-603b-4c19-9b54-9114c96fb912;239;г. Сочи;;краснодарский;1;
Ставрополь;2a1c7bdb-05ea-492f-9e1c-b3999f79dcbc;36;г. Ставрополь;;ставропольский;1;
Старый Оскол;9f5e86b1-b893-43dc-9dd4-ac66573b17d1;10649;г. Старый Оскол;;белгородская;1;
Стерлитамак;84e0b23d-82fe-40a8-8739-55e679780dc3;11116;г. Стерлитамак;;башкортостан;1;
Сургут;f1eb1809-47d4-4f0b-9a74-fa416e9d3df2;973;г. Сургут;;хмао;1;
Таганрог;d72c95ed-9fdd-4f27-b94f-898fc3f1177d;971;г. Таганрог;;ростовская;1;
Тамбов;ea2a1270-1e19-4224-b1a0-4228b9de3c7a;13;г. Тамбов;;тамбовская;1;
Тверь;c52ea942-555e-45c6-9751-58897717b02f;14;г. Тверь;;тверская;1;
Тольятти;242e87c1-584d-4360-8c4c-aae2fe90048e;240;г. Тольятти;;самарская;1;
Томск;e3b0eae8-a4ce-4779-ae04-5c0797de66be;67;г. Томск;;томская;1;
Туймазы;511a0136-f60c-451b-a2eb-3402103f1223;20717;г. Туймазы;;башкортостан;1;
Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;15;г. Тула;;тульская;1;
Тюмень;9ae64229-9f7b-4149-b27a-d1f6ec74b5ce;55;г. Тюмень;;тюменская;1;
Улан-Удэ;9fdcc25f-a3d0-4f28-8b61-40648d099065;198;г. Улан-Удэ;;бурятия;1;
Ульяновск;bebfd75d-a0da-4bf9-8307-2e2c85eac463;195;г. Ульяновск;;ульяновская;1;
Уссурийск;de7335fb-9baa-48eb-927d-0bb299b2e5bc;11426;г. Уссурийск;;приморский;1;
Уфа;7339e834-2cb4-4734-a4c7-1fca2c66e562;172;г. Уфа;;башкортостан;1;
Хабаровск;a4859da8-9977-4b62-8436-4e1b98c5d13f;76;г. Хабаровск;;хабаровский;1;
Химки;d76255c8-3173-4db5-a39b-badd3ebdf851;10758;г. Химки;;московская;1;
Чайковский;06d7a6d6-8f57-4e5a-b698-2bc44c92bb84;20243;г. Чайковский;;пермский;1;
Чебоксары;dd8caeab-c685-4f2a-bf5f-550aca1bbc48;45;г. Чебоксары;;чувашия;1;
Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;56;г. Челябинск;;челябинская;1;
Череповец;b4c30848-5181-44b4-88fa-456e1c4aeb0f;968;г. Череповец;;вологодская;1;
Шадринск;7870abeb-8b0f-4899-920b-3ab8ff6024c0;11159;г. Шадринск;;курганская;1;
Щелково;c38a33c1-8f16-4454-bbf4-656d6b8b1739;10765;г. Щелково;;московская;1;
Электросталь;e0b171b6-bf2e-4d68-ab05-4d42ab2b375a;20523;г. Электросталь;;московская;1;
Энгельс;c58d0505-54eb-4c34-8216-b14f7cdb0ecb;11147;г. Энгельс;;саратовская;1;
Якутск;884c84a2-0141-4652-962d-8a92989b88f7;74;г. Якутск;;саха;1;
Ярославль;6b1bab7d-ee45-4168-a2a6-4ce2880d90d3;16;г. Ярославль;;ярославская;1;
